T10,Public Expenditure on Education (2021),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
51,Armenia,2014,Public expenditure on education (% of GDP),2.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
51,Armenia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
51,Armenia,2015,All staff compensation as % of total expenditure in public institutions (%),88.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
51,Armenia,2015,Public expenditure on education (% of GDP),2.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
51,Armenia,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
51,Armenia,2017,All staff compensation as % of total expenditure in public institutions (%),73,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
51,Armenia,2017,Capital expenditure as % of total expenditure in public institutions (%),12.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
51,Armenia,2017,Public expenditure on education (% of GDP),2.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
51,Armenia,2018,Basic access to computers by level of education: Primary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
51,Armenia,2018,Basic access to computers by level of education: Lower secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
51,Armenia,2018,Basic access to computers by level of education: Upper secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
533,Aruba,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
533,Aruba,2005,All staff compensation as % of total expenditure in public institutions (%),90.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
533,Aruba,2005,Capital expenditure as % of total expenditure in public institutions (%),3.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
533,Aruba,2005,Public expenditure on education (% of GDP),4.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
